用户ID,平台ID,帖子ID,原文作者,作者ID,根微博作者,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WB_aubQd,P_0,WB_202410251545_0,aubQd,7953622094,法海里的丑学长,普通用户,501,26933.0,未定义,男,北京市
WB_rvuJn,P_0,WB_202410251545_1,rvuJn,7953873036,法海里的丑学长,普通用户,501,27573.0,未定义,男,北京市
WB_在竹林烘焙的紫菜,P_0,WB_202410251544_2,在竹林烘焙的紫菜,7949137003,法海里的丑学长,普通用户,550,19813.0,未定义,女,北京市
WB_EMHuNQ,P_0,WB_202410251545_3,EMHuNQ,7953873056,法海里的丑学长,普通用户,501,25446.0,未定义,男,北京市
WB_用户7953961018,P_0,WB_202410251545_4,用户7953961018,7953961018,法海里的丑学长,普通用户,502,25827.0,未定义,男,北京市
WYXW_天津广播,P_1,WYXW_202410210636_5,天津广播, , , ,0,,省级,无,广东省
WB_赖床专bo18业户,P_0,WB_202410251544_6,赖床专bo18业户,7949208197,法海里的丑学长,普通用户,550,19458.0,未定义,女,北京市
WB_性感瑶瑶iw3,P_0,WB_202410251544_7,性感瑶瑶iw3,7949137071,法海里的丑学长,普通用户,551,19537.0,未定义,女,北京市
WB_用户7948057017,P_0,WB_202410251544_8,用户7948057017,7948057017,法海里的丑学长,普通用户,550,19410.0,未定义,女,北京市
WB_勤劳小樱桃鉴赏藏品,P_0,WB_202410251544_9,勤劳小樱桃鉴赏藏品,7949137004,法海里的丑学长,普通用户,551,19734.0,未定义,女,北京市
WB_用户7948057025,P_0,WB_202410251544_10,用户7948057025,7948057025,法海里的丑学长,普通用户,551,16267.0,未定义,女,北京市
WB_VGmYff,P_0,WB_202410251545_11,VGmYff,7953955036,法海里的丑学长,普通用户,501,26158.0,未定义,男,北京市
WB_在榛子森林做手工的韭菜,P_0,WB_202410251544_12,在榛子森林做手工的韭菜,7949137010,法海里的丑学长,普通用户,550,19663.0,未定义,女,北京市
WB_LZLlxN,P_0,WB_202410251545_13,LZLlxN,7953706029,法海里的丑学长,普通用户,501,25815.0,未定义,男,北京市
DY_吃瓜酱.ai,P_2,DY_202410261848_14,吃瓜酱.ai,74298656810, ,普通用户,647,1661.0,商业,无,内蒙古自治区
WB_LEanQz,P_0,WB_202410251545_15,LEanQz,7952352029,法海里的丑学长,普通用户,501,26407.0,未定义,男,北京市
WB_用户7949137024,P_0,WB_202410251545_16,用户7949137024,7949137024,法海里的丑学长,普通用户,550,19670.0,未定义,女,北京市
WB_用户7949137069,P_0,WB_202410251544_17,用户7949137069,7949137069,法海里的丑学长,普通用户,550,19559.0,未定义,女,北京市
WB_BExeNZ,P_0,WB_202410251545_18,BExeNZ,7953955081,法海里的丑学长,普通用户,501,25363.0,未定义,男,北京市
WB_sDuzE,P_0,WB_202410251545_19,sDuzE,7952352126,法海里的丑学长,普通用户,501,27279.0,未定义,男,北京市
WYXW_路之意,P_1,WYXW_202410180827_20,路之意,T1566699377095, ,1001101,6677,,中小,无,湖南省
WB_在电影院拍视频的荷花,P_0,WB_202410251544_21,在电影院拍视频的荷花,7949208195,法海里的丑学长,普通用户,553,19595.0,未定义,女,北京市
WB_用户7949137056,P_0,WB_202410251544_22,用户7949137056,7949137056,法海里的丑学长,普通用户,551,18145.0,未定义,女,北京市
WB_用户7948057023,P_0,WB_202410251544_23,用户7948057023,7948057023,法海里的丑学长,普通用户,552,19635.0,未定义,女,北京市
WB_PGjZE,P_0,WB_202410251545_24,PGjZE,7952352012,法海里的丑学长,普通用户,501,27199.0,未定义,男,北京市
WYXW_天津广播,P_1,WYXW_202410210636_26,天津广播,T1595317700366, , ,0,,商业,无,广东省
WB_v欧巴c73会发光,P_0,WB_202410251544_27,v欧巴c73会发光,7949208176,法海里的丑学长,普通用户,550,19791.0,未定义,女,北京市
WB_FyqDTXa,P_0,WB_202410251545_28,FyqDTXa,7953622181,法海里的丑学长,普通用户,501,27199.0,未定义,男,北京市
WB_性感诗瑶iw,P_0,WB_202410251544_29,性感诗瑶iw,7949208181,法海里的丑学长,普通用户,551,19609.0,未定义,女,北京市
WB_在热气球上编绳结的玉米,P_0,WB_202410251544_30,在热气球上编绳结的玉米,7949208189,法海里的丑学长,普通用户,551,19725.0,未定义,女,北京市
WB_Z50两腿e间的梦,P_0,WB_202410251544_31,Z50两腿e间的梦,7949137062,法海里的丑学长,普通用户,554,19429.0,未定义,女,北京市
JRTT_随手化成诗,P_3,JRTT_202410211437_32,随手化成诗,2135694343962235, , ,0,0.0,商业,无,广东省
WB_cmjqn,P_0,WB_202410251545_33,cmjqn,7953622164,法海里的丑学长,普通用户,501,27082.0,未定义,男,北京市
WB_瑶瑶妹妹t8,P_0,WB_202410251545_34,瑶瑶妹妹t8,7949137061,法海里的丑学长,普通用户,550,19589.0,未定义,女,北京市
WB_用户7949137070,P_0,WB_202410251544_35,用户7949137070,7949137070,法海里的丑学长,普通用户,553,17472.0,未定义,女,北京市
WB_WZLdZi,P_0,WB_202410251545_36,WZLdZi,7953789052,法海里的丑学长,普通用户,501,26615.0,未定义,男,北京市
WB_用户7949137026,P_0,WB_202410251544_38,用户7949137026,7949137026,法海里的丑学长,普通用户,550,19303.0,未定义,女,北京市
WB_古怪垂耳兔在搞笑,P_0,WB_202410251544_39,古怪垂耳兔在搞笑,7949208198,法海里的丑学长,普通用户,550,19848.0,未定义,女,北京市
WB_MXQpZpy,P_0,WB_202410251545_40,MXQpZpy,7952851032,法海里的丑学长,普通用户,501,25545.0,未定义,男,北京市
WB_用户7949137011,P_0,WB_202410251544_41,用户7949137011,7949137011,法海里的丑学长,普通用户,550,17893.0,未定义,女,北京市
WYXW_九宫,P_1,WYXW_202410251900_43,九宫, , , ,0,,未定义,无,贵州省
WB_用户7948057018,P_0,WB_202410251544_44,用户7948057018,7948057018,法海里的丑学长,普通用户,550,19679.0,未定义,女,北京市
