帖子ID,平台ID,平台名称,媒体类型
WB_202410251545_0,P_0,微博,微博
WB_202410251545_1,P_0,微博,微博
WB_202410251544_2,P_0,微博,微博
WB_202410251545_3,P_0,微博,微博
WB_202410251545_4,P_0,微博,微博
WYXW_202410210636_5,P_1,网易新闻,客户端
WB_202410251544_6,P_0,微博,微博
WB_202410251544_7,P_0,微博,微博
WB_202410251544_8,P_0,微博,微博
WB_202410251544_9,P_0,微博,微博
WB_202410251544_10,P_0,微博,微博
WB_202410251545_11,P_0,微博,微博
WB_202410251544_12,P_0,微博,微博
WB_202410251545_13,P_0,微博,微博
DY_202410261848_14,P_2,抖音,视频
WB_202410251545_15,P_0,微博,微博
WB_202410251545_16,P_0,微博,微博
WB_202410251544_17,P_0,微博,微博
WB_202410251545_18,P_0,微博,微博
WB_202410251545_19,P_0,微博,微博
WYXW_202410180827_20,P_1,网易新闻,客户端
WB_202410251544_21,P_0,微博,微博
WB_202410251544_22,P_0,微博,微博
WB_202410251544_23,P_0,微博,微博
WB_202410251545_24,P_0,微博,微博
WYXW_202410210636_26,P_1,网易新闻,客户端
WB_202410251544_27,P_0,微博,微博
WB_202410251545_28,P_0,微博,微博
WB_202410251544_29,P_0,微博,微博
WB_202410251544_30,P_0,微博,微博
WB_202410251544_31,P_0,微博,微博
JRTT_202410211437_32,P_3,今日头条,客户端
WB_202410251545_33,P_0,微博,微博
WB_202410251545_34,P_0,微博,微博
WB_202410251544_35,P_0,微博,微博
WB_202410251545_36,P_0,微博,微博
WB_202410251544_38,P_0,微博,微博
WB_202410251544_39,P_0,微博,微博
WB_202410251545_40,P_0,微博,微博
WB_202410251544_41,P_0,微博,微博
WYXW_202410251900_43,P_1,网易新闻,客户端
WB_202410251544_44,P_0,微博,微博
WB_202410251545_45,P_0,微博,微博
JRTT_202410222133_46,P_3,今日头条,客户端
WB_202410241215_47,P_0,微博,微博
JRTT_202410242122_49,P_3,今日头条,客户端
WB_202410251545_50,P_0,微博,微博
WB_202410251545_51,P_0,微博,微博
WYXW_202410180827_52,P_1,网易新闻,客户端
JRTT_202410200653_53,P_3,今日头条,客户端
DY_202410180459_54,P_2,抖音,视频
JRTT_202410232152_55,P_3,今日头条,客户端
DY_202410251443_56,P_2,抖音,视频
JRTT_202410242150_57,P_3,今日头条,客户端
WB_202410201947_58,P_0,微博,微博
DY_202410242313_59,P_2,抖音,视频
JRTT_202410200715_60,P_3,今日头条,客户端
JRTT_202410221533_61,P_3,今日头条,客户端
JRTT_202410231500_62,P_3,今日头条,客户端
JRTT_202410202050_63,P_3,今日头条,客户端
JRTT_202410200432_64,P_3,今日头条,客户端
WB_202410201947_65,P_0,微博,微博
WB_202410241206_67,P_0,微博,微博
DY_202410220249_68,P_2,抖音,视频
DY_202410220420_69,P_2,抖音,视频
WB_202410171144_70,P_0,微博,微博
XHS_202410170046_71,P_4,小红书,客户端
WYXW_202401231136_72,P_1,网易新闻,客户端
JRTT_202401281828_73,P_3,今日头条,客户端
WB_202401261730_74,P_0,微博,微博
WB_202401260039_75,P_0,微博,微博
WB_202401211646_76,P_0,微博,微博
JRTT_202401281309_77,P_3,今日头条,客户端
JRTT_202401282334_78,P_3,今日头条,客户端
WB_202401280034_79,P_0,微博,微博
WB_202401260950_80,P_0,微博,微博
JRTT_202401291401_81,P_3,今日头条,客户端
VX_202401260822_82,P_5,微信,微信
JRTT_202401281246_83,P_3,今日头条,客户端
JRTT_202401281551_84,P_3,今日头条,客户端
VX_202401302036_85,P_5,微信,微信
JRTT_202401281812_86,P_3,今日头条,客户端
JRTT_202401272206_87,P_3,今日头条,客户端
VX_202401280530_88,P_5,微信,微信
WB_202401262007_89,P_0,微博,微博
JRTT_202401220005_90,P_3,今日头条,客户端
JRTT_202401291035_91,P_3,今日头条,客户端
JRTT_202401272147_92,P_3,今日头条,客户端
JRTT_202401272211_93,P_3,今日头条,客户端
JRTT_202401272227_94,P_3,今日头条,客户端
JRTT_202401211212_95,P_3,今日头条,客户端
JRTT_202401272230_96,P_3,今日头条,客户端
JRTT_202401300057_97,P_3,今日头条,客户端
WYXW_202401241143_98,P_1,网易新闻,客户端
WB_202401281151_99,P_0,微博,微博
JRTT_202401231009_100,P_3,今日头条,客户端
JRTT_202401301644_101,P_3,今日头条,客户端
JRTT_202401301027_102,P_3,今日头条,客户端
WYXW_202401281659_104,P_1,网易新闻,客户端
JRTT_202401281301_105,P_3,今日头条,客户端
KS_202401291040_106,P_6,快手,视频
VX_202401250847_107,P_5,微信,微信
JRTT_202401282032_108,P_3,今日头条,客户端
JRTT_202401282032_109,P_3,今日头条,客户端
DY_202401240443_110,P_2,抖音,视频
JRTT_202401281829_111,P_3,今日头条,客户端
DY_202401240038_112,P_2,抖音,视频
DY_202401290740_113,P_2,抖音,视频
JRTT_202401281933_114,P_3,今日头条,客户端
JRTT_202401281551_115,P_3,今日头条,客户端
DY_202401250836_116,P_2,抖音,视频
JRTT_202401281432_117,P_3,今日头条,客户端
JRTT_202401281650_118,P_3,今日头条,客户端
JRTT_202401281419_119,P_3,今日头条,客户端
JRTT_202401281414_120,P_3,今日头条,客户端
VX_202401250958_121,P_5,微信,微信
JRTT_202401280428_122,P_3,今日头条,客户端
JRTT_202401281340_123,P_3,今日头条,客户端
JRTT_202401281326_124,P_3,今日头条,客户端
JRTT_202401280535_126,P_3,今日头条,客户端
JRTT_202401281526_127,P_3,今日头条,客户端
KS_202401261218_128,P_6,快手,视频
JRTT_202401281110_129,P_3,今日头条,客户端
JRTT_202401292139_130,P_3,今日头条,客户端
JRTT_202401272051_131,P_3,今日头条,客户端
JRTT_202401281436_133,P_3,今日头条,客户端
JRTT_202401281730_134,P_3,今日头条,客户端
WYXW_202401231136_135,P_1,网易新闻,客户端
JRTT_202401281503_136,P_3,今日头条,客户端
JRTT_202401280620_137,P_3,今日头条,客户端
JRTT_202401281445_139,P_3,今日头条,客户端
JRTT_202401282036_140,P_3,今日头条,客户端
JRTT_202401280856_141,P_3,今日头条,客户端
JRTT_202401280602_142,P_3,今日头条,客户端
WB_202401261732_143,P_0,微博,微博
JRTT_202401282305_144,P_3,今日头条,客户端
WYXW_202401300800_145,P_1,网易新闻,客户端
JRTT_202401301053_146,P_3,今日头条,客户端
JRTT_202401290957_147,P_3,今日头条,客户端
VX_202401290002_148,P_5,微信,微信
JRTT_202401291047_149,P_3,今日头条,客户端
JRTT_202401301311_150,P_3,今日头条,客户端
JRTT_202401281356_151,P_3,今日头条,客户端
JRTT_202401280648_152,P_3,今日头条,客户端
WB_202401271423_153,P_0,微博,微博
JRTT_202401281703_156,P_3,今日头条,客户端
WYXW_202401250800_157,P_1,网易新闻,客户端
JRTT_202401281121_158,P_3,今日头条,客户端
JRTT_202401290857_159,P_3,今日头条,客户端
