用户ID,作者ID,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WYXW_九宫, , ,0,,未定义,无,贵州省
WB_用户7948057018,7948057018,普通用户,550,19679.0,未定义,女,北京市
WB_用户7949137068,7949137068,普通用户,550,19595.0,未定义,女,北京市
JRTT_懵懵柑桔,807458397752740, ,0,,商业,无,内蒙古自治区
WB_修改大帝,7894184872,普通用户,57,513.0,未定义,男,江苏省
JRTT_我是位前男友top1,3613476237619977,普通用户,0,0.0,商业,无,河南省
WB_cbEiiG,7952412057,普通用户,501,27368.0,未定义,男,其他
WB_XXCvTb,7953789181,普通用户,501,25522.0,未定义,男,其他
WYXW_路之意,T1566699377095, ,0,,中小,无,湖南省
JRTT_津云,3556495548, ,0,135125.0,商业,无,新疆维吾尔自治区
DY_Alone（深秋）,qingweiguo88,普通用户,2595,148.0,未定义,无,内蒙古自治区
JRTT_可靠饺子T2,2564482175609512, ,0,0.0,商业,无,江苏省
DY_AUFBUS、,53143322395,普通用户,295,4.0,商业,无,内蒙古自治区
JRTT_往事只能回味85951943,6352020090, ,0,30052.0,商业,无,河南省
WB_秦二两99,7735375033,个人认证-橙V,107552,9596.0,未定义,男,江苏省
DY_土豆丝盖饭,33221901449,普通用户,7,2.0,未定义,无,江西省
JRTT_柠夏初开,3699231658613758, ,0,0.0,商业,无,内蒙古自治区
JRTT_自在银河,3065867565018151, ,0,0.0,商业,无,上海市
JRTT_何止风筝,2000727262891416, ,0,32.0,商业,无,河北省
JRTT_单纯冰淇淋9,2318250942145614, ,0,0.0,商业,无,云南省
JRTT_纸起城楼,1709102897568796, ,0,0.0,商业,无,青海省
DY_吃瓜酱.ai,74298656810, ,0,1661.0,商业,无,内蒙古自治区
DY_九天仙乐,jiutianxianyue, ,0,2054.0,商业,无,内蒙古自治区
WB_罗浩志疮栓,6409212883,个人认证-金V,281519,52864.0,未定义,男,四川省
XHS_宇宙公主塞拉斯提亚,8012222221,普通用户,2300,88.0,未定义,无,其他
WYXW_橘子述情感, , ,0,0.0,未定义,无,江苏省
JRTT_没完没了001,59511290520, ,69,2.0,未定义,无,浙江省
WB_堂前萱草开,1234044425,个人认证-金V,114019,28314.0,未定义,女,云南省
WB_ALyCEinWonderLand,6618319240,普通用户,265,7043.0,未定义,女,北京市
WB_微淘B客,6056582337,普通用户,3976,90358.0,未定义,男,河南省
JRTT_单纯饭团Wqa,3931505345954068, ,33,358.0,未定义,无,浙江省
JRTT_云端雄狮,108001308149, ,334,512.0,未定义,无,浙江省
WB_等待三体,6288687084,普通用户,415,19241.0,未定义,女,北京市
WB_北海兰溪,7899606501,普通用户,0,2.0,未定义,男,上海市
JRTT_达少16888,103976460128, ,0,,未定义,无,浙江省
VX_校园安全管理工作坊,gh_9aab731563ef, ,0,,未定义,无,广西壮族自治区
JRTT_2024加油！,4327709029, ,844,1225.0,未定义,无,浙江省
JRTT_梦幻豆浆8l,2903190591777598, ,0,,未定义,无,浙江省
VX_要闻观察,ywgc01, ,0,,未定义,无,浙江省
JRTT_偶遇春风lgs,1543336026968430, ,0,0.0,未定义,无,浙江省
JRTT_从化大叔,2964753572955071, ,28,176.0,未定义,无,浙江省
VX_大河报,dahebao19950801, ,0,,省级,无,河南省
WB_点点点点惹人厌,7075185388,普通用户,14,1075.0,未定义,男,北京市
JRTT_谢言说,4156632211656244, ,0,,未定义,无,境外
JRTT_十月668,6979222021, ,587,2230.0,未定义,无,浙江省
JRTT_谈笑风生5132,58864753170, ,2989,1009.0,未定义,无,浙江省
JRTT_朦胧墨色无殇,910039106729981, ,0,,未定义,无,江苏省
JRTT_春江月初照人,50407608915, ,362,5144.0,未定义,无,浙江省
JRTT_金三姐777,70073757850,普通用户,124,42.0,未定义,无,内蒙古自治区
JRTT_只识弯弓射大雕矣,11499293092, ,96,223.0,未定义,无,浙江省
JRTT_国家尊严,106461392847, ,5330,4958.0,未定义,无,浙江省
WYXW_娟姐带你走乡村, ,1000101,5523,342.0,未定义,无,福建省
WB_烤冷面超激推,6078473406,普通用户,555,4263.0,未定义,女,北京市
JRTT_-颜-颜-书-屋-,110678963264, ,0,,未定义,无,北京市
JRTT_俊颢为老百姓发声,53345649857, ,276,251.0,未定义,无,甘肃省
JRTT_一口生姜半口醋,4586331863, ,55,253.0,未定义,无,浙江省
WYXW_一支破笔半支烟, , ,0,,未定义,无,浙江省
JRTT_竹林憩,55752083877, ,4639,516.0,未定义,无,浙江省
KS_小六,3x892vp8arbsmsi,普通用户,0,,未定义,无,湖南省
VX_校园安全宣传,y234677, ,0,,未定义,无,广西壮族自治区
JRTT_有柳盈屋A,85296848597, ,974,546.0,未定义,无,浙江省
JRTT_军武记,1965565970488286, ,2024,9838.0,未定义,无,浙江省
DY_昭兮,1314521_yyds,普通用户,17,10.0,未定义,无,广东省
JRTT_正文征武,4572163559, ,612,6194.0,未定义,无,浙江省
DY_某某某 是谁？,89163706755,普通用户,52,16.0,未定义,无,江西省
DY_，小白,j1146923564,普通用户,400,81.0,未定义,无,上海市
JRTT_无双清风n,63293859474, ,0,0.0,未定义,无,浙江省
JRTT_a股ATM,54770955232, ,142,218.0,未定义,无,浙江省
DY_九九要加油,0516hhz,普通用户,26,9.0,未定义,无,其他
JRTT_红尘争渡客4g5N,3617820147, ,179,142.0,未定义,无,浙江省
JRTT_一支破笔半支烟,86802953244,普通用户,9,45.0,未定义,无,浙江省
JRTT_凡尘俗世游,5753183435, ,20,64.0,未定义,无,浙江省
JRTT_海学,108042145532, ,0,2.0,未定义,无,境外
VX_四川省邻水中学,scslszx, ,0,,未定义,无,广西壮族自治区
JRTT_微笑钢笔EE,73968261317, ,93,2664.0,未定义,无,浙江省
JRTT_何长明分析,2594449077305775, ,0,0.0,未定义,无,浙江省
JRTT_老苏州外地人,3925697149016687, ,0,,未定义,无,浙江省
JRTT_清风辉扬1,16194755380, ,430,431.0,未定义,无,浙江省
JRTT_乖巧水滴I6d,1935562841272956, ,0,,未定义,无,浙江省
KS_吃饭了吗,3xieh279h2cuyts,普通用户,0,,未定义,无,内蒙古自治区
JRTT_suhaohu,4427411451, ,112,118.0,未定义,无,浙江省
JRTT_一壶温酒敬余生,2740432676073759,普通用户,0,0.0,未定义,无,黑龙江省
JRTT_幸福吉祥,365478346763780, ,10,102.0,未定义,无,浙江省
JRTT_0004607,4324665997, ,82,270.0,未定义,无,浙江省
JRTT_爱做美食的灵敏星空祝,3404529513535328, ,253,5827.0,未定义,无,浙江省
JRTT_国强我爱,1231869946891422, ,157,2210.0,未定义,无,浙江省
JRTT_乘风破浪的梦想家ZSD,21260121880, ,0,0.0,未定义,无,浙江省
JRTT_用户大瞎鹰飞,3821555909417212, ,406,703.0,未定义,无,浙江省
JRTT_王富鹏887,84659643371, ,2336,2755.0,未定义,无,浙江省
JRTT_我不是砖家叫兽,96283072888, ,1700,17910.0,未定义,无,浙江省
JRTT_傲气冲天,103011136971, ,0,,未定义,无,重庆市
WB_赵姥姥曰,1846973325,个人认证-橙V,131588,46790.0,未定义,女,北京市
JRTT_花花画画124,2031519238733607, ,0,0.0,未定义,无,浙江省
WYXW_胖胖侃咖, , ,37193,1117.0,未定义,无,贵州省
JRTT_晓郭漫谈,22457996195, ,34,336.0,未定义,无,浙江省
JRTT_安律说法,6635348474, ,463042,3036.0,未定义,无,浙江省
VX_6点早听,fm6dian, ,0,,未定义,无,海南省
JRTT_直爽摆渡人,383092310935756, ,0,,未定义,无,浙江省
JRTT_楠木观社会,3979856588845484,普通用户,11,0.0,未定义,无,浙江省
JRTT_光荣与梦想111,474592625041928, ,0,0.0,未定义,无,浙江省
JRTT_博学多才的百灵鸟IG,5511910712, ,1365,14015.0,未定义,无,浙江省
WB_君斯忌酒,7312947700,普通用户,20,11911.0,未定义,女,北京市
JRTT_一碗大葱面,61446110820, ,899,9550.0,未定义,无,浙江省
WYXW_胖胖侃咖, , ,37193,1117.0,未定义,无,云南省
JRTT_宣城律师,82134696758, ,646,1628.0,未定义,无,浙江省
JRTT_A成男旧事,6592492376, ,1216,840.0,未定义,无,浙江省
JRTT_简单重来,3847946154294429, ,165,5369.0,未定义,无,浙江省
JRTT_独孤宽粉hi,98562722881, ,72,5033.0,未定义,无,浙江省
DY_小南生,1109756015,普通用户,746,119.0,未定义,无,其他
JRTT_DrKingDrKing,6251241066, ,88,7.0,未定义,无,浙江省
JRTT_幸运山雀e,96377501216, ,368,485.0,未定义,无,浙江省
JRTT_阿飞93840347,6521491311, ,98,327.0,未定义,无,浙江省
WB_甜味戒断,5367664245,普通用户,2381,38204.0,未定义,女,北京市
JRTT_用户5738815575580,11025233411, ,27,5.0,未定义,无,浙江省
WB_胡椒阳光煎蛋,7065592443,普通用户,32,1459.0,未定义,女,北京市
JRTT_衢州EMS国际,104931516912, ,37,464.0,未定义,无,浙江省
WYXW_胖胖侃咖, ,1000101,37193,1117.0,未定义,无,贵州省
WB_命理师枕星河,6207249599,个人认证-橙V,105255,43572.0,未定义,女,北京市
JRTT_奋起斗争的付军,5540515192, ,176,283.0,未定义,无,浙江省
JRTT_大俊咂成长圈,74176149206, ,0,0.0,未定义,无,内蒙古自治区
JRTT_晨光熹微夏夏,3653030982983545, ,0,,未定义,无,浙江省
KS_糊涂蛋.（私封）,3xv2dwnr3inkxq9,普通用户,0,,未定义,无,江苏省
JRTT_迟来的爱,2174836773, ,88,245.0,未定义,无,浙江省
JRTT_一呼那么嗨,86035011075, ,20,15.0,未定义,无,浙江省
JRTT_大气艺术家cv,110655228733, ,5,1.0,未定义,无,浙江省
JRTT_无忧的柑桔kh,87993262375, ,61,8.0,未定义,无,浙江省
WYXW_双色球的方向舵, ,1000101,4154,612.0,未定义,无,浙江省
WB_第五千零一朵玫瑰,6448868439,普通用户,131,627.0,未定义,女,北京市
VX_爱上早读,izaodu8, ,0,,未定义,无,海南省
WB_故园浙里,7369631195,普通用户,548,15456.0,未定义,男,云南省
JRTT_西斋青简,48856377591215,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_老骥jZ8Y,103465279977, ,242,980.0,未定义,无,浙江省
DY_荷包蛋蛋,55131592888,普通用户,2,,未定义,无,其他
WB_我妈单推,5253551403,普通用户,149,9307.0,未定义,女,北京市
JRTT_刀锋起舞,3114235160953597, ,268,14.0,未定义,无,浙江省
WB_海里的星星,5594551841,普通用户,3,4891.0,未定义,女,北京市
WB_财神爷继承者,7797272410,个人认证-橙V,581,1597.0,未定义,女,北京市
WYXW_胖胖侃咖, ,1000101,37193,1117.0,未定义,无,云南省
JRTT_半陌安醉,9489017715,普通用户,34,15.0,未定义,无,湖北省
WB_云间事,7732924976,普通用户,2,92.0,未定义,女,北京市
JRTT_圣山童姥,4362484201816259, ,24,56.0,未定义,无,浙江省
WB_想冬眠的十万,1741538517,普通用户,19735,142574.0,未定义,女,北京市
JRTT_翼展,479804450160019, ,0,0.0,未定义,无,浙江省
JRTT_皖南公社,2342374684763631, ,0,0.0,未定义,无,浙江省
JRTT_杨大仙健康白酒,4006240169760787, ,121,56.0,未定义,无,浙江省
JRTT_三狼解说说,2608511453758440, ,81,8.0,未定义,无,江苏省
JRTT_阿辉2016,5954363309, ,28,26.0,未定义,无,浙江省
JRTT_佛系就快乐,5795404007, ,1563,8865.0,未定义,无,浙江省
WB_红泥小火炉爆茶4号,3675769805,普通用户,340,22508.0,未定义,男,北京市
WB_食蛋少年团_银硕珍,3022951230,普通用户,99,5373.0,未定义,女,北京市
WB_匠心如椽的夏天,6443963254,普通用户,158,1883.0,未定义,女,上海市
JRTT_章輋,3193457417919263, ,399,243.0,未定义,无,浙江省
WB_偷袈裟的小黑熊,5963425884,普通用户,144,3887.0,未定义,男,北京市
JRTT_心怡128791175,3348845805, ,256,4716.0,未定义,无,浙江省
VX_听闻天下语音,atingk123, ,0,,未定义,无,海南省
VX_爱上早读语音版l,zaodu521, ,0,,未定义,无,海南省
JRTT_真我,539238761503401,普通用户,0,0.0,商业,无,四川省
JRTT_园园十1314,1591742643317774,普通用户,3,0.0,商业,无,上海市
JRTT_川法瞭望,2840766661811965,个人加V认证,0,3859.0,商业,无,四川省
WB_知书达礼谓之幸福99圣骑士之招聘,2442460641,个人认证-达人,2786,193504.0,未定义,女,其他
WB_向日葵的幸福我有108,7797652864,普通用户,559,27334.0,未定义,女,北京市
WB_母爱无疆9999萱堂大人,7798498809,普通用户,392,15484.0,未定义,女,其他
WB_向日葵的幸福我有108,7797652864,普通用户,559,27334.0,未定义,女,其他
WB_婚嫁不是狗毛满屋999平行娃可爱,7798290335,普通用户,71,18756.0,未定义,男,其他
WB_天降甘露多应时99和谐运行人生99,7818004904,普通用户,68,18393.0,未定义,女,其他
WB_天生丽质难自弃99一朝为国争光辉,7086018677,普通用户,23,12438.0,未定义,女,境外
WB_积德七分给你后人999,7797721459,普通用户,668,21120.0,未定义,女,其他
WB_积德七分给你后人999,7797721459,普通用户,668,21120.0,未定义,女,湖南省
WB_新尼尔斯幸福起来VV月亮走我也走,7420700190,普通用户,95,20622.0,未定义,男,其他
WB_修行即福分VVVV华人团结异彩纷呈,7798097120,普通用户,119,17954.0,未定义,女,湖南省
WB_天降甘露多应时99和谐运行人生99,7818004904,普通用户,68,18393.0,未定义,女,湖南省
WB_婚嫁不是狗毛满屋999平行娃可爱,7798290335,普通用户,71,18756.0,未定义,男,湖南省
WB_母爱无疆9999萱堂大人,7798498809,普通用户,392,15484.0,未定义,女,湖南省
WB_新尼尔斯幸福起来VV月亮走我也走,7420700190,普通用户,95,20622.0,未定义,男,湖南省
JRTT_悦来越有钱,2848150453492564,普通用户,0,0.0,商业,无,四川省
WB_天生丽质难自弃99一朝为国争光辉,7086018677,普通用户,23,12438.0,未定义,女,湖南省
WB_知书达礼谓之幸福99圣骑士之招聘,2442460641,个人认证-达人,2786,193504.0,未定义,女,湖南省
WB_向日葵的幸福我有108,7797652864,普通用户,559,27334.0,未定义,女,湖南省
JRTT_小茹,3180211802479119,普通用户,0,,商业,无,内蒙古自治区
DY_?????滟??色????凉城?,xuezcm2024iu,普通用户,4986,1333.0,商业,无,天津市
DY_廖老二,1853963677,普通用户,1140,1098.0,商业,无,云南省
WB_财卉紫,7712432401,普通用户,1069,80.0,未定义,女,其他
DY_落轻颜,43515632420,普通用户,940,1131.0,商业,无,其他
JRTT_井普椿的独白,594163259943214, ,30000,31.0,未定义,无,广西壮族自治区
DY_故言君若书,623593046,普通用户,53,78.0,未定义,无,其他
JRTT_是小程吖,2228047614064032, ,0,0.0,未定义,无,广西壮族自治区
JRTT_周明轩,3916901769022713,普通用户,0,0.0,未定义,无,上海市
JRTT_大管家,3054870535614484,普通用户,0,0.0,未定义,无,广西壮族自治区
JRTT_正直星星9i,4221718455649054, ,0,0.0,未定义,无,广西壮族自治区
JRTT_乐乐爱看书,2082901429595924, ,0,,未定义,无,其他
KS_佳美Ya.,3xc6bj6dfjj2522,普通用户,0,,未定义,无,内蒙古自治区
JRTT_舞出人生,103561139695,普通用户,1393,0.0,未定义,无,新疆维吾尔自治区
JRTT_梦幻彩色,2010328732534136, ,0,0.0,未定义,无,黑龙江省
JRTT_博学豆花lL,594161781450199, ,0,0.0,未定义,无,广西壮族自治区
JRTT_乖巧书签lc,17182642930743, ,36,1.0,未定义,无,浙江省
JRTT_楼阁说,284118899752990,普通用户,0,0.0,未定义,无,浙江省
JRTT_重案讲说人,110842903869,个人加V认证,432000,787.0,未定义,无,云南省
WB_WOMEN自救指南,6440121901,普通用户,71575,907.0,未定义,女,其他
JRTT_大嘴聊娱,3877291337741732,普通用户,0,0.0,未定义,无,台湾省
JRTT_诗梦花间,3485904892073508, ,0,0.0,未定义,无,广西壮族自治区
WB_众合法硕教育,6041271617,企业认证,374849,18876.0,未定义,男,北京市
JRTT_毛桃吧唧嘴,760480300019947,普通用户,0,0.0,未定义,无,浙江省
JRTT_柒东谏史,4055436950523671, ,80689,206.0,未定义,无,广西壮族自治区
WB_柯威廉William,6661062979,个人认证-橙V,144134,17738.0,未定义,男,云南省
JRTT_萨沙,6791693135,个人加V认证,932000,14941.0,未定义,无,境外
JRTT_得福得福,109616586034, ,36,122.0,未定义,无,黑龙江省
XHS_法律小卫士,10929231647,普通用户,1,0.0,未定义,无,浙江省
JRTT_撅柿糕手,3161792568637821,普通用户,0,0.0,未定义,无,北京市
JRTT_风林野史,242342187505483,普通用户,0,0.0,未定义,无,云南省
JRTT_平安开心是福气,1928960330434525,普通用户,0,0.0,未定义,无,河南省
JRTT_博学多橘子剪辑,3936728141282619, ,0,0.0,未定义,无,内蒙古自治区
WYXW_五月读书汇, ,1000101,23933,,未定义,无,四川省
JRTT_民生论谈,2096107014067823, ,0,0.0,未定义,无,内蒙古自治区
WB_Wb雪域晴空,6475127799,普通用户,271,52391.0,未定义,男,浙江省
JRTT_科技前沿站,4468834301922439, ,0,0.0,未定义,无,广西壮族自治区
WB_清水河的部长,7624721185,普通用户,4,25.0,未定义,男,北京市
JRTT_忆苦思甜河岸,592009468318176, ,0,0.0,未定义,无,湖南省
JRTT_面条SY,405039665650991, ,0,0.0,未定义,无,云南省
JRTT_羊洋健生倡导,71616620768, ,8994,2894.0,未定义,无,黑龙江省
WB_小忎,1042054474,个人认证-橙V,31443,8016.0,未定义,女,内蒙古自治区
JRTT_小三科普官,1196724465173758, ,200480,215.0,未定义,无,江苏省
JRTT_陈二建有话说,1446601203130516,普通用户,5,16.0,未定义,无,其他
JRTT_小D,1841035521042073,普通用户,0,0.0,未定义,无,山东省
VX_夜暗心明x,gh_e2ee3bc9809f, ,0,,未定义,无,上海市
JRTT_用户7452344416561,74420905579485,普通用户,0,0.0,未定义,无,山西省
WB_FxxkFeminazi,7719975170,普通用户,2661,18627.0,未定义,男,云南省
JRTT_宁静讲情感,3268194084852647,普通用户,0,0.0,未定义,无,其他
WYXW_玲说百态味, , ,0,,未定义,无,台湾省
JRTT_弄潮时代,6018108613, ,232000,409.0,未定义,无,广西壮族自治区
DY_瓅心,51883208691,普通用户,1417,288.0,未定义,无,陕西省
KS_世俱赛,3xc4jh2fnbcr7fw,普通用户,0,0.0,未定义,无,山西省
XHS_考拉,786105965,普通用户,1700,0.0,未定义,无,江苏省
JRTT_得李不饶人,523803122476419, ,0,0.0,未定义,无,江苏省
JRTT_筱晓的世界观,215975292043527,普通用户,0,0.0,未定义,无,香港特别行政区
JRTT_德行天下梦由乡情,65530362847, ,276,1633.0,未定义,无,北京市
WYXW_草根游钓呀, , ,0,,未定义,无,重庆市
JRTT_桃子西,886627901127817, ,0,0.0,未定义,无,内蒙古自治区
JRTT_关内侯侃西论,2802004545510526, ,0,0.0,未定义,无,江苏省
WYXW_娱乐的小灶, ,1000101,19938,,未定义,无,台湾省
JRTT_贺绪云,1058161980611344, ,0,0.0,未定义,无,江苏省
WB_-常念君,1748164684,普通用户,708,16347.0,未定义,女,四川省
JRTT_河山主人,5345993211, ,356,255.0,未定义,无,其他
WB_跑马拉松的刺猬,5519124882,普通用户,4,301.0,未定义,女,四川省
JRTT_满洲第一强勇巴图鲁,2153257769903764,普通用户,2488,0.0,未定义,无,上海市
VX_令人战栗的腥闻,gh_010a43ec3ce7, ,0,,未定义,无,河北省
WB_ThailandFans,6410460183,个人认证-橙V,431,694.0,未定义,男,其他
JRTT_三月说历史,1834450439111343,普通用户,0,0.0,未定义,无,台湾省
KS_善缘阁??丹姐,3xnhdtk7z6gx479,普通用户,0,927.0,未定义,无,内蒙古自治区
WB_恨春水,5878751117,普通用户,348,2089.0,未定义,女,四川省
JRTT_热闹暖阳V9M,767929240533291, ,0,0.0,未定义,无,河南省
JRTT_淡泊的明月5Z,3861941592009284, ,0,0.0,未定义,无,山东省
JRTT_九千七,2010321857293815, ,0,0.0,未定义,无,上海市
JRTT_谈天说地聊八卦,4222593885021159, ,0,0.0,未定义,无,上海市
DY_用户3181925828795,68910928617,普通用户,218,13.0,未定义,无,内蒙古自治区
WB_星河大黑猫,7837271992,普通用户,43,7388.0,未定义,女,四川省
WB_xjenxjanzichensjcjsnsoahduebdj,6357331333,普通用户,75,1167.0,未定义,女,四川省
WB_章然丶,5703035208,个人认证-橙V,101798,1148.0,未定义,女,四川省
WB_NVgyitfcvg,7710704988,普通用户,483,6104.0,未定义,女,四川省
WB_进击的呱呱蛙,5268029150,普通用户,126,6253.0,未定义,女,四川省
DY_云陆之舍,1026916016,普通用户,162,1.0,未定义,无,山东省
WYXW_轻松一刻, , ,0,,未定义,无,上海市
WYXW_举报, , ,0,,商业,无,上海市
DY_7577 757,56588832178,普通用户,946,994.0,未定义,无,其他
JRTT_晴姐姐说情感,4111792735268014,普通用户,2679,2023.0,未定义,无,河南省
JRTT_巷北楠猫,2960338859081244,普通用户,0,0.0,未定义,无,山东省
KS_勾勾鸡,3xww5n9gfaz38ig,普通用户,0,0.0,未定义,无,江西省
WYXW_起喜电影, ,1000101,10509,2830.0,未定义,无,内蒙古自治区
JRTT_摩羯姐姐he,102843905437, ,0,,未定义,无,甘肃省
JRTT_独立鱼,3598883388,个人加V认证,692469,6415.0,未定义,无,江苏省
JRTT_外婆讲故事,110931675467,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_星辰说事,1436441752908763, ,0,,未定义,无,浙江省
JRTT_天天故事会123,109596498943, ,0,,未定义,无,内蒙古自治区
JRTT_五原县人民检察院,5557688271,组织加V认证,1511,2688.0,地市,无,安徽省
DY_??五星燃剪·张纯如,mXm2024331,普通用户,3879,36.0,未定义,无,江苏省
WYXW_爱钓鱼的阿, , ,0,0.0,未定义,无,内蒙古自治区
JRTT_史书先生,2463369097658051,普通用户,809,21.0,未定义,无,境外
JRTT_偆煖錵开,3425733271365101,普通用户,4,11.0,未定义,无,山西省
DY_信仰有力量,30722583228,普通用户,322,53.0,未定义,无,江苏省
JRTT_物理超度,35605284917531, ,0,,未定义,无,江苏省
JRTT_小象直言,92865666878, ,0,,未定义,无,北京市
WYXW_时尚的弄潮, , ,185,23.0,未定义,无,江苏省
WYXW_独立鱼, , ,0,,未定义,无,江苏省
WB_我点了根烟去拜拜神仙,5695518496,个人认证-橙V,105565,26227.0,未定义,男,内蒙古自治区
JRTT_头条清道夫N,84720280279, ,89,11.0,未定义,无,河南省
WB_江崎诗织,7908887813,普通用户,5588,1051.0,未定义,女,内蒙古自治区
JRTT_大千世界,61797774196, ,0,0.0,未定义,无,湖北省
WB_护法扶正,7495489582,普通用户,290953,56953.0,未定义,男,浙江省
KS_小梁凉,3xv3uwkh66gfndq,普通用户,0,,未定义,无,吉林省
DY_?遇见你就是我们的缘,qinye92408,普通用户,1152,1692.0,未定义,无,内蒙古自治区
JRTT_姐妹花故事会,3301212131691812, ,0,0.0,未定义,无,湖北省
JRTT_佬俵娱乐事,2335827530894032, ,0,,未定义,无,北京市
DY_龙仔哥国际首席金融财经咨询导师,50672925436,普通用户,3832,733.0,未定义,无,河南省
JRTT_倾城拾月,51750441461, ,0,0.0,未定义,无,内蒙古自治区
XHS_woaiasm,438934175,普通用户,2100,3.0,未定义,无,内蒙古自治区
DY_????郝首穷荆?????,buliu258099,普通用户,52,0.0,未定义,无,内蒙古自治区
JRTT_咕噜咕噜冒泡泡,317098285604567,普通用户,0,0.0,未定义,无,云南省
JRTT_斯达舟说娱乐,6215728976, ,0,3.0,未定义,无,内蒙古自治区
JRTT_小付,4380919800803435, ,0,,未定义,无,内蒙古自治区
WB_ToughPill悟,6319084248,普通用户,544,2932.0,未定义,女,浙江省
WYXW_传情说事局, , ,269,4.0,未定义,无,四川省
JRTT_?,99628370100, ,0,,未定义,无,其他
JRTT_一棵树nsist,1623293119695063,普通用户,0,0.0,未定义,无,北京市
JRTT_玖笙,101536596113, ,0,0.0,未定义,无,湖北省
JRTT_点墨书生,4033463358588408, ,0,0.0,未定义,无,湖北省
KS_题都城南庄，,3xy9974uxe8ycum,普通用户,14998,506.0,未定义,无,内蒙古自治区
DY_丫头阿九,94809826,普通用户,6969,2617.0,未定义,无,北京市
JRTT_江畔雨落,1047164716591400,普通用户,118000,73.0,未定义,无,境外
XHS_杭州众合俞老师,948570792,普通用户,50,0.0,未定义,无,北京市
JRTT_小魏档案,2911983072451663, ,654000,0.0,未定义,无,山东省
JRTT_历史求知所,3219012992644048, ,2015000,1409.0,未定义,无,甘肃省
JRTT_正义凛然湖泊QTC,4177757409648750, ,0,0.0,未定义,无,甘肃省
JRTT_认真双辽4C,2146720594279870,普通用户,0,0.0,未定义,无,北京市
JRTT_宁月析,2938373527057895,普通用户,50000,36.0,未定义,无,台湾省
WYXW_徐永梅爱音乐,T1682048603324, ,0,,未定义,无,北京市
WYXW_小虎新车推荐员,T1661851249384,1000101,2569,,未定义,无,北京市
