用户ID,作者ID,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WB_aubQd,7953622094,普通用户,501,26933.0,未定义,男,北京市
WB_rvuJn,7953873036,普通用户,501,27573.0,未定义,男,北京市
WB_在竹林烘焙的紫菜,7949137003,普通用户,550,19813.0,未定义,女,北京市
WB_EMHuNQ,7953873056,普通用户,501,25446.0,未定义,男,北京市
WB_用户7953961018,7953961018,普通用户,502,25827.0,未定义,男,北京市
WYXW_天津广播, , ,0,,省级,无,广东省
WB_赖床专bo18业户,7949208197,普通用户,550,19458.0,未定义,女,北京市
WB_性感瑶瑶iw3,7949137071,普通用户,551,19537.0,未定义,女,北京市
WB_用户7948057017,7948057017,普通用户,550,19410.0,未定义,女,北京市
WB_勤劳小樱桃鉴赏藏品,7949137004,普通用户,551,19734.0,未定义,女,北京市
WB_用户7948057025,7948057025,普通用户,551,16267.0,未定义,女,北京市
WB_VGmYff,7953955036,普通用户,501,26158.0,未定义,男,北京市
WB_在榛子森林做手工的韭菜,7949137010,普通用户,550,19663.0,未定义,女,北京市
WB_LZLlxN,7953706029,普通用户,501,25815.0,未定义,男,北京市
DY_吃瓜酱.ai,74298656810,普通用户,647,1661.0,商业,无,内蒙古自治区
WB_LEanQz,7952352029,普通用户,501,26407.0,未定义,男,北京市
WB_用户7949137024,7949137024,普通用户,550,19670.0,未定义,女,北京市
WB_用户7949137069,7949137069,普通用户,550,19559.0,未定义,女,北京市
WB_BExeNZ,7953955081,普通用户,501,25363.0,未定义,男,北京市
WB_sDuzE,7952352126,普通用户,501,27279.0,未定义,男,北京市
WYXW_路之意,T1566699377095,1001101,6677,,中小,无,湖南省
WB_在电影院拍视频的荷花,7949208195,普通用户,553,19595.0,未定义,女,北京市
WB_用户7949137056,7949137056,普通用户,551,18145.0,未定义,女,北京市
WB_用户7948057023,7948057023,普通用户,552,19635.0,未定义,女,北京市
WB_PGjZE,7952352012,普通用户,501,27199.0,未定义,男,北京市
WYXW_天津广播,T1595317700366, ,0,,商业,无,广东省
WB_v欧巴c73会发光,7949208176,普通用户,550,19791.0,未定义,女,北京市
WB_FyqDTXa,7953622181,普通用户,501,27199.0,未定义,男,北京市
WB_性感诗瑶iw,7949208181,普通用户,551,19609.0,未定义,女,北京市
WB_在热气球上编绳结的玉米,7949208189,普通用户,551,19725.0,未定义,女,北京市
WB_Z50两腿e间的梦,7949137062,普通用户,554,19429.0,未定义,女,北京市
JRTT_随手化成诗,2135694343962235, ,0,0.0,商业,无,广东省
WB_cmjqn,7953622164,普通用户,501,27082.0,未定义,男,北京市
WB_瑶瑶妹妹t8,7949137061,普通用户,550,19589.0,未定义,女,北京市
WB_用户7949137070,7949137070,普通用户,553,17472.0,未定义,女,北京市
WB_WZLdZi,7953789052,普通用户,501,26615.0,未定义,男,北京市
WB_用户7949137026,7949137026,普通用户,550,19303.0,未定义,女,北京市
WB_古怪垂耳兔在搞笑,7949208198,普通用户,550,19848.0,未定义,女,北京市
WB_MXQpZpy,7952851032,普通用户,501,25545.0,未定义,男,北京市
WB_用户7949137011,7949137011,普通用户,550,17893.0,未定义,女,北京市
