帖子ID,平台ID,平台名称,媒体类型
WB_202405131451_3106,P_0,微博,微博
WB_202405140610_3107,P_0,微博,微博
DY_202409020050_3108,P_2,抖音,视频
KS_202408310742_3109,P_4,快手,视频
WB_202409011049_3110,P_0,微博,微博
WB_202408311112_3111,P_0,微博,微博
WB_202408311020_3112,P_0,微博,微博
WB_202408311208_3113,P_0,微博,微博
DY_202409052316_3114,P_2,抖音,视频
DY_202408300459_3115,P_2,抖音,视频
WB_202408310832_3116,P_0,微博,微博
DY_202408300359_3117,P_2,抖音,视频
WB_202408311752_3118,P_0,微博,微博
DY_202408300208_3119,P_2,抖音,视频
JRTT_202409061003_3121,P_3,今日头条,客户端
KS_202408300419_3122,P_4,快手,视频
WB_202408311725_3123,P_0,微博,微博
WB_202409010320_3124,P_0,微博,微博
WB_202409050122_3125,P_0,微博,微博
WYXW_202409060642_3126,P_5,网易新闻,客户端
WB_202408300257_3127,P_0,微博,微博
WB_202409011853_3128,P_0,微博,微博
DY_202408300042_3129,P_2,抖音,视频
WB_202408311252_3130,P_0,微博,微博
WB_202409020530_3131,P_0,微博,微博
KS_202408290232_3132,P_4,快手,视频
WB_202409031055_3133,P_0,微博,微博
KS_202409021715_3134,P_4,快手,视频
WB_202408311725_3135,P_0,微博,微博
WB_202408291521_3136,P_0,微博,微博
JRTT_202409031021_3137,P_3,今日头条,客户端
DY_202408291904_3138,P_2,抖音,视频
WB_202408311754_3139,P_0,微博,微博
WB_202408311718_3140,P_0,微博,微博
KS_202408311503_3141,P_4,快手,视频
WB_202408301800_3142,P_0,微博,微博
WB_202409021916_3143,P_0,微博,微博
DY_202408290358_3144,P_2,抖音,视频
WB_202408311828_3145,P_0,微博,微博
DY_202408291604_3146,P_2,抖音,视频
WB_202409011106_3147,P_0,微博,微博
WB_202408312155_3148,P_0,微博,微博
DY_202408312017_3149,P_2,抖音,视频
WB_202409011724_3150,P_0,微博,微博
DY_202408300657_3151,P_2,抖音,视频
WB_202408291745_3152,P_0,微博,微博
WB_202408311940_3153,P_0,微博,微博
WB_202408291422_3154,P_0,微博,微博
WB_202409010130_3155,P_0,微博,微博
WB_202408311225_3156,P_0,微博,微博
KS_202409011827_3157,P_4,快手,视频
WB_202408291429_3158,P_0,微博,微博
WB_202408311659_3159,P_0,微博,微博
XHS_202408311245_3160,P_1,小红书,客户端
DY_202408300205_3161,P_2,抖音,视频
WB_202408291451_3162,P_0,微博,微博
WB_202408311710_3163,P_0,微博,微博
KS_202408311812_3164,P_4,快手,视频
WYXW_202408310227_3165,P_5,网易新闻,客户端
WB_202408311020_3166,P_0,微博,微博
WB_202408310620_3167,P_0,微博,微博
WB_202408300207_3168,P_0,微博,微博
DY_202409051218_3169,P_2,抖音,视频
WB_202408301124_3170,P_0,微博,微博
DY_202408310724_3171,P_2,抖音,视频
WB_202408311659_3172,P_0,微博,微博
KS_202409061603_3173,P_4,快手,视频
WB_202408291500_3174,P_0,微博,微博
WB_202409030034_3175,P_0,微博,微博
WYXW_202409031052_3176,P_5,网易新闻,客户端
WB_202408301606_3177,P_0,微博,微博
WB_202409010830_3178,P_0,微博,微博
WB_202408311016_3180,P_0,微博,微博
WB_202408291432_3181,P_0,微博,微博
DY_202408302132_3182,P_2,抖音,视频
DY_202409061817_3183,P_2,抖音,视频
JRTT_202409022055_3184,P_3,今日头条,客户端
DY_202410262132_3185,P_2,抖音,视频
DY_202410262237_3186,P_2,抖音,视频
JRTT_202408150908_3187,P_3,今日头条,客户端
KS_202408150943_3188,P_4,快手,视频
WB_202408142311_3189,P_0,微博,微博
DY_202408142324_3192,P_2,抖音,视频
JRTT_202408160704_3193,P_3,今日头条,客户端
WYXW_202408160843_3194,P_5,网易新闻,客户端
WB_202408151204_3195,P_0,微博,微博
