帖子ID,平台ID,平台名称,媒体类型
WB_202407311149_2395,P_0,微博,微博
WB_202407311252_2396,P_0,微博,微博
WB_202408030017_2397,P_0,微博,微博
WB_202407310945_2398,P_0,微博,微博
WB_202407311201_2399,P_0,微博,微博
WB_202407311127_2400,P_0,微博,微博
WB_202407311212_2401,P_0,微博,微博
WB_202407311053_2402,P_0,微博,微博
WB_202407311051_2403,P_0,微博,微博
DY_202410222220_2405,P_2,抖音,视频
XHS_202410172300_2406,P_1,小红书,客户端
WYXW_202410220637_2407,P_5,网易新闻,客户端
WYXW_202410220637_2408,P_5,网易新闻,客户端
WB_202410171334_2410,P_0,微博,微博
DY_202410171824_2411,P_2,抖音,视频
DY_202410180230_2412,P_2,抖音,视频
KS_202410230804_2413,P_4,快手,视频
DY_202410191445_2414,P_2,抖音,视频
KS_202410201451_2415,P_4,快手,视频
DY_202410261530_2416,P_2,抖音,视频
DY_202408211134_2417,P_2,抖音,视频
