用户ID,作者ID,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WB_萌萌艾战,7531265116,普通用户,1653,239872.0,未定义,女,重庆市
WB_肖意满满,7558654011,个人认证-橙V,677,20160.0,未定义,女,重庆市
WB_ylylyl1990,5062872828,普通用户,62,53774.0,未定义,女,重庆市
WYXW_無星记, , ,0,,未定义,无,福建省
WB_君迁子DAYTOY,7584621489,普通用户,513,19311.0,未定义,女,重庆市
DY_这个夏天真的,limingleip,普通用户,82698,828.0,未定义,无,其他
VX_听闻正能量,twznl606, ,0,,未定义,无,浙江省
WB_缃戝悕金鍔犺浇澶辩触,3229234641,普通用户,2669,75154.0,未定义,女,重庆市
WB_肖艺承cc,5651862869,普通用户,719,17254.0,未定义,女,重庆市
WB_小迷糊DAYTOY小桃心版,6474908501,个人认证-橙V,820,23284.0,未定义,女,重庆市
WB_摇零凌雾,7197095701,普通用户,214,1328.0,未定义,女,重庆市
WB_素影花簪,6480683162,个人认证-橙V,38159,68393.0,未定义,女,北京市
WB_坚果兔爱红色向日葵DAYTOY,6862211252,普通用户,532,16326.0,未定义,女,重庆市
WB_草青临水,1660468137,普通用户,252,5528.0,未定义,女,重庆市
XHS_皮卡皮卡酱酱酱,986102383,普通用户,7,0.0,未定义,无,上海市
DY_地主家的长工,150345356,普通用户,254,874.0,未定义,无,其他
WB_恋恋灬,2816588910,个人认证-橙V,577,8249.0,未定义,女,重庆市
WB_北以水月,6630201888,普通用户,637,4404.0,未定义,女,重庆市
XHS_打倒英格利西,9411175120,普通用户,6300,0.0,未定义,无,其他
WB_节儿根999,7409302157,个人认证-橙V,795,11177.0,未定义,男,重庆市
KS_苏梓洋,3x5q725bdcmikqq,普通用户,0,,未定义,无,四川省
VX_老王哥健康咨询频道,wangzili19660406, ,0,,未定义,无,吉林省
VX_养老悦听,mtnr58, ,0,,未定义,无,海南省
JRTT_发条橙orangervzM,1081560115459687, ,0,,未定义,无,河北省
WB_米老鼠629,2163943072,普通用户,1490,23428.0,未定义,女,重庆市
WB_稚奴的呆桃,7737230085,普通用户,585,3383.0,未定义,女,重庆市
WB_蘸红尘,7526372124,普通用户,579,63347.0,未定义,女,重庆市
WB_战战的小面包呀,6127793769,个人认证-橙V,1324,47682.0,未定义,女,重庆市
WB_为红增色,5097059584,普通用户,907,49978.0,未定义,女,重庆市
WB_是你的点点点呀,7338017591,普通用户,194,13658.0,未定义,男,重庆市
JRTT_汁力源,624966968825623,普通用户,0,0.0,未定义,无,其他
DY_未来马术界的冯教练,dyqswz7uohic,普通用户,2734,61.0,未定义,无,其他
WYXW_古装影视解说阿凶, , ,0,0.0,未定义,无,香港特别行政区
JRTT_书史望今,3274770117312110,普通用户,0,0.0,未定义,无,其他
WB_花落微凉梦清幽mm,7310419485,普通用户,658,7308.0,未定义,女,重庆市
WB_在蓬莱比赛的垂耳兔,7566739889,普通用户,15,17056.0,未定义,女,重庆市
DY_筱呦推文,45537078043,普通用户,101,,未定义,无,其他
KS_FairY,3xnwxcnd4fbm7zg,普通用户,0,,未定义,无,北京市
WB_小新0131,3511208325,普通用户,678,62483.0,未定义,女,重庆市
WB_灵素紫衣终殊途,5678951253,普通用户,289,10382.0,未定义,女,重庆市
WB_0ctober2021,7695849387,普通用户,2026,10467.0,未定义,女,重庆市
WB_兔先生的夫人,7608037528,普通用户,740,54382.0,未定义,女,重庆市
DY_@内蒙古日记,neimenggurij,普通用户,282,0.0,未定义,无,内蒙古自治区
XHS_坚果,1130066952,普通用户,2,0.0,未定义,无,其他
WYXW_段子逗笑社, ,1000101,5283,504.0,未定义,无,辽宁省
DY_悠悠旅游车队?,Zcfgb5966993,普通用户,1239,,未定义,无,广东省
XHS_想不出名字,2187797106, ,0,0.0,未定义,无,四川省
DY_且听风吟.,73975496496,普通用户,44,,未定义,无,其他
DY_酸酸?柠檬,31664047750,普通用户,20,,未定义,无,其他
JRTT_简单雪碧Cu,707709771457859, ,0,,未定义,无,境外
DY_半粒糖^,wanbanrenshe,普通用户,9,0.0,未定义,无,江苏省
WB_能行能行能行s,7517776781,普通用户,0,3640.0,未定义,女,其他
DY_九元,U8851,普通用户,273,204.0,未定义,无,其他
DY_待你归来,65586798271,普通用户,144,190.0,未定义,无,其他
DY_喵久久,33202931173,普通用户,666,,未定义,无,其他
WB_跆拳道冠军少女,6528935651,普通用户,2884,537.0,未定义,女,福建省
WYXW_阿芒娱乐说, , ,0,,未定义,无,云南省
KS_苍穹那抹蓝,3x3ujjwjuaw6gv9,普通用户,0,0.0,未定义,无,江苏省
XHS_Tina的舆情分享,Vzhxg100,普通用户,20,0.0,未定义,无,江西省
DY_吴佳莉?妈妈,xinsuiledemu,普通用户,4981,,未定义,无,福建省
VX_寻听,gh_c2fbf3611d0b, ,0,,未定义,无,广东省
DY_眉目成书,56301173819,普通用户,5,,未定义,无,江苏省
KS_GYG.鹤阳历史,3xcbkqajfduqyzq,普通用户,121837,441.0,未定义,无,北京市
WYXW_阿芒娱乐说, ,1000101,6342,,未定义,无,云南省
JRTT_闰土爱瓜,3514499414636535, ,0,,未定义,无,云南省
JRTT_微信公众号史海拾珠,1128547754971219, ,0,,未定义,无,广东省
WYXW_书中自有颜如玉, ,1000101,18757,,未定义,无,其他
JRTT_第五村哥,1961125754442551,普通用户,0,140.0,商业,无,陕西省
DY_我发财了,91001295355,普通用户,0,0.0,商业,无,江西省
DY_坚强的母亲,aykiz28118,普通用户,1495,1.0,未定义,无,江西省
DY_痕生,58157390399,普通用户,55,3.0,商业,无,山西省
JRTT_跟着波叔看世界,19677989724,普通用户,0,217.0,商业,无,其他
DY_痕生,58157390399,普通用户,55,3.0,未定义,无,山西省
DY_千里马搏击健身,ZjLj20231213,普通用户,247,34.0,商业,无,四川省
DY_周旭辉,zhouxuhui126,普通用户,28,12.0,商业,无,北京市
JRTT_上进的小红花9,4325903049440410,普通用户,0,0.0,商业,无,黑龙江省
DY_缘来缘去,1047067410,普通用户,158,308.0,商业,无,陕西省
KS_晚霞,2901214811,普通用户,0,58.0,商业,无,其他
KS_Cora,4326569076,普通用户,0,1.0,商业,无,其他
KS_下雨天,2114521133,普通用户,0,26.0,商业,无,其他
DY_@???流星雨????：??,dyqc7bi5bvx1,普通用户,2471,206.0,商业,无,江西省
